id,title,native-title,genre,director,format,type,country,release_date,duration,episodes,ct_rate,tag,synopsis,duration (min),release_year,rate_num,score,user_count,rating_norm,actor,combined_emb,combined_tf,poster
735043,When Life Gives You Tangerines,폭싹 속았수다,"Romance, Life, Drama",Kim Won Suk,Standard Series,Drama,South Korea,"Mar 7, 2025",1 hr. 2 min.,16,13+ - Teens 13 or older,"Family Relationship, Nice Male Lead, Healthy Mains’ Relationship, Break Up, Teenage Pregnancy, Poor Family, Father-Daughter Relationship, Poor Male Lead, Chasing A Dream, Heartwarming (Vote tags)","It is a story that resembles a tribute to our parents' tender and still youthful seasons when they were so young, including the story of mother's first love, father's heroic tales, grandma's rebellious youth, and grandpa's romantic era. Ae Sun is rebellious but gets nervous every time she rebels. She is not well off but is always shining and full of positivity. She dreams of becoming a poet, although she cannot attend school, and she is a bold character who doesn’t hide any emotions. Gwan Sik is an extremely diligent and quiet character. Romance is not a strength for him, and he doesn’t know how to act if Ae Sun cries or laughs, but he is a silent warrior who only loves Ae Sun from the very beginning and pours his all into loving her.",62,2025,13,9.3,68706,0.9300000000000002,"IU, Park Bo Gum, Moon So Ri, Park Hae Joon, Kim Yong Rim, Na Moon Hee","When Life Gives You Tangerines Romance, Life, Drama Romance, Life, Drama Family Relationship, Nice Male Lead, Healthy Mains’ Relationship, Break Up, Teenage Pregnancy, Poor Family, Father-Daughter Relationship, Poor Male Lead, Chasing A Dream, Heartwarming Kim Won Suk IU, Park Bo Gum, Moon So Ri, Park Hae Joon, Kim Yong Rim, Na Moon Hee It is a story that resembles a tribute to our parents' tender and still youthful seasons when they were so young, including the story of mother's first love, father's heroic tales, grandma's rebellious youth, and grandpa's romantic era. Ae Sun is rebellious but gets nervous every time she rebels. She is not well off but is always shining and full of positivity. She dreams of becoming a poet, although she cannot attend school, and she is a bold character who doesn’t hide any emotions. Gwan Sik is an extremely diligent and quiet character. Romance is not a strength for him, and he doesn’t know how to act if Ae Sun cries or laughs, but he is a silent warrior who only loves Ae Sun from the very beginning and pours his all into loving her.",when life gives you tangerines romance life drama romance life drama family relationship nice male lead healthy mains relationship break up teenage pregnancy poor family father daughter relationship poor male lead chasing a dream heartwarming vote tags kim won suk iu park bo gum moon so ri park hae joon kim yong rim na moon hee,https://i.mydramalist.com/5v8b2y_4c.jpg?v=1
739603,Twinkling Watermelon,반짝이는 워터멜론,"Romance, Youth, Drama, Fantasy",Son Jung Hyun,Standard Series,Drama,South Korea,"Sep 25, 2023",1 hr. 10 min.,16,15+ - Teens 15 or older,"Time Travel, Child From The Future, Deafness, Sign Language, Father-Son Relationship, 1990s, Music, Coming Of Age, Friendship, Comedy (Vote tags)","In 2023, high school student Eun Gyeol, a CODA with a passion for music, leads a double life as a model pupil by day and a guitarist by night. When he discovers a mysterious music store, he's unexpectedly transported back to 1995, where he meets his father, Ha I Chan, as a high schooler. I Chan doesn't recognize him and is infatuated with a cellist, Se Gyeong, not Eun Gyeol's mother, Cheong A. To set things right, Eun Gyeol joins a band led by I Chan, hoping to reunite his future parents and return to the present.",70,2023,15,9.2,103873,0.92,"Ryeo Un, Choi Hyun Wook, Seol In Ah, Shin Eun Soo, Kim Joo Ryoung, Bong Jae Hyun","Twinkling Watermelon Romance, Youth, Drama, Fantasy Romance, Youth, Drama, Fantasy Time Travel, Child From The Future, Deafness, Sign Language, Father-Son Relationship, 1990s, Music, Coming Of Age, Friendship, Comedy Son Jung Hyun Ryeo Un, Choi Hyun Wook, Seol In Ah, Shin Eun Soo, Kim Joo Ryoung, Bong Jae Hyun In 2023, high school student Eun Gyeol, a CODA with a passion for music, leads a double life as a model pupil by day and a guitarist by night. When he discovers a mysterious music store, he's unexpectedly transported back to 1995, where he meets his father, Ha I Chan, as a high schooler. I Chan doesn't recognize him and is infatuated with a cellist, Se Gyeong, not Eun Gyeol's mother, Cheong A. To set things right, Eun Gyeol joins a band led by I Chan, hoping to reunite his future parents and return to the present.",twinkling watermelon romance youth drama fantasy romance youth drama fantasy time travel child from the future deafness sign language father son relationship 1990s music coming of age friendship comedy vote tags son jung hyun ryeo un choi hyun wook seol in ah shin eun soo kim joo ryoung bong jae hyun,https://i.mydramalist.com/2w44jE_4c.jpg?v=1
49231,Move to Heaven,무브 투 헤븐: 나는 유품정리사입니다,"Life, Drama",Kim Sung Ho,Standard Series,Drama,South Korea,"May 14, 2021",52 min.,10,18+ Restricted (violence & profanity),"Uncle-Nephew Relationship, Autism, Death, Tearjerker, Savant Syndrome, Life Lesson, Asperger’s Syndrome, Autistic Male Lead, Smart Male Lead, Murder (Vote tags)","Han Geu Ru is an autistic 20-year-old guy. He works for his father’s business “Move To Heaven,” a company that specializes in crime scene cleanup, where they also collect and arrange items left by deceased people, and deliver them to the bereaved family. When Geu Ru's father dies, Geu Ru's guardianship passes to his uncle, ex-convict Cho Sang Gu, who is a martial arts fighter in underground matches. Per the father's will, Sang Gu must care for and work with Geu Ru in “Move To Heaven” for three months to gain full guardianship and claim the inheritance. Eyeing money, Sang Gu agrees to the conditions and moves in.",52,2021,18,9.1,75160,0.91,"Lee Je Hoon, Tang Jun Sang, Hong Seung Hee, Jung Suk Yong, Jung Young Joo, Lee Moon Sik","Move to Heaven Life, Drama Life, Drama Uncle-Nephew Relationship, Autism, Death, Tearjerker, Savant Syndrome, Life Lesson, Asperger’s Syndrome, Autistic Male Lead, Smart Male Lead, Murder Kim Sung Ho Lee Je Hoon, Tang Jun Sang, Hong Seung Hee, Jung Suk Yong, Jung Young Joo, Lee Moon Sik Han Geu Ru is an autistic 20-year-old guy. He works for his father’s business “Move To Heaven,” a company that specializes in crime scene cleanup, where they also collect and arrange items left by deceased people, and deliver them to the bereaved family. When Geu Ru's father dies, Geu Ru's guardianship passes to his uncle, ex-convict Cho Sang Gu, who is a martial arts fighter in underground matches. Per the father's will, Sang Gu must care for and work with Geu Ru in “Move To Heaven” for three months to gain full guardianship and claim the inheritance. Eyeing money, Sang Gu agrees to the conditions and moves in.",move to heaven life drama life drama uncle nephew relationship autism death tearjerker savant syndrome life lesson asperger s syndrome autistic male lead smart male lead murder vote tags kim sung ho lee je hoon tang jun sang hong seung hee jung suk yong jung young joo lee moon sik,https://i.mydramalist.com/Rle36_4c.jpg?v=1
702267,Weak Hero Class 1,약한영웅 Class 1,"Action, Youth, Drama",Park Dhan Hee,Standard Series,Drama,South Korea,"Nov 18, 2022",40 min.,8,18+ Restricted (violence & profanity),"Student Male Lead, Teenager Male Lead, Violence, Friendship, School Bullying, School Setting, Bromance, Skilled Fighter, High School, Introverted Male Lead (Vote tags)","Yeon Shi Eun is a model student who ranks at the top of his high school. Physically, Yeon Shi Eun appears weak, but by using his wits and psychology, he fights against the violence that takes place inside and outside of his school.",40,2022,18,9.1,114265,0.91,"Park Ji Hoon, Choi Hyun Wook, Hong Kyung, Kim Su Gyeom, Lee Yeon, Shin Seung Ho","Weak Hero Class 1 Action, Youth, Drama Action, Youth, Drama Student Male Lead, Teenager Male Lead, Violence, Friendship, School Bullying, School Setting, Bromance, Skilled Fighter, High School, Introverted Male Lead Park Dhan Hee Park Ji Hoon, Choi Hyun Wook, Hong Kyung, Kim Su Gyeom, Lee Yeon, Shin Seung Ho Yeon Shi Eun is a model student who ranks at the top of his high school. Physically, Yeon Shi Eun appears weak, but by using his wits and psychology, he fights against the violence that takes place inside and outside of his school.",weak hero class 1 action youth drama action youth drama student male lead teenager male lead violence friendship school bullying school setting bromance skilled fighter high school introverted male lead vote tags park dhan hee park ji hoon choi hyun wook hong kyung kim su gyeom lee yeon shin seung ho,https://i.mydramalist.com/pq2lr_4c.jpg?v=1
52939,Alchemy of Souls,환혼,"Action, Historical, Romance, Fantasy",Park Joon Hwa,Standard Series,Drama,South Korea,"Jun 18, 2022",1 hr. 20 min.,20,15+ - Teens 15 or older,"Transmigration, Master-Disciple Relationship, Supernatural, Hidden Identity, Body Swap, Elemental Power, Fake Identity, Comedy, Master-Servant Relationship, Flashback To Past (Vote tags)","In the fictional country of Daeho, young mages struggle to overcome twisted fates caused by the forbidden ""alchemy of souls,"" a spell that swaps souls between bodies. Naksu, an elite assassin, finds her soul trapped in the weak body of Mu Deok, a servant to the noble Jang Family. Jang Uk, the young master of the Jang Family, harbors a dark secret about his birth and seeks Naksu's help to change his destiny.",80,2022,15,9.1,108485,0.91,"Lee Jae Wook, Jung So Min, Hwang Min Hyun, Shin Seung Ho, Yoo Joon Sang, Oh Na Ra","Alchemy of Souls Action, Historical, Romance, Fantasy Action, Historical, Romance, Fantasy Transmigration, Master-Disciple Relationship, Supernatural, Hidden Identity, Body Swap, Elemental Power, Fake Identity, Comedy, Master-Servant Relationship, Flashback To Past Park Joon Hwa Lee Jae Wook, Jung So Min, Hwang Min Hyun, Shin Seung Ho, Yoo Joon Sang, Oh Na Ra In the fictional country of Daeho, young mages struggle to overcome twisted fates caused by the forbidden ""alchemy of souls,"" a spell that swaps souls between bodies. Naksu, an elite assassin, finds her soul trapped in the weak body of Mu Deok, a servant to the noble Jang Family. Jang Uk, the young master of the Jang Family, harbors a dark secret about his birth and seeks Naksu's help to change his destiny.",alchemy of souls action historical romance fantasy action historical romance fantasy transmigration master disciple relationship supernatural hidden identity body swap elemental power fake identity comedy master servant relationship flashback to past vote tags park joon hwa lee jae wook jung so min hwang min hyun shin seung ho yoo joon sang oh na ra,https://i.mydramalist.com/Beg4z_4c.jpg?v=1
54697,The Trauma Code: Heroes on Call,중증외상센터,"Action, Comedy, Drama, Medical",Lee Do Yoon,Standard Series,Drama,South Korea,"Jan 24, 2025",51 min.,8,15+ - Teens 15 or older,"Surgeon Male Lead, Hospital Setting, Mentor-Mentee Relationship, Competent Male Lead, Rescue Team, Teamwork, Hardworking Male Lead, Co-workers' Relationship, Doctor Male Lead, Workplace Setting (Vote tags)","Baek Gang Hyeok, a genius trauma surgeon with experience in conflict zones, joins a university hospital to lead its severe trauma team. His confident, bulldozer-like personality clashes with the hospital's financial struggles as the team saves more patients. The team includes Yang Jae Won, a former proctology surgeon who becomes Baek Gang Hyeok’s first pupil, nurse Cheon Jang Mi, and anesthesiologist resident Park Gyeong Won. Under Baek Gang Hyeok's leadership, the team transforms from a symbolic unit into one that actively saves lives.",51,2025,15,9.1,54819,0.91,"Ju Ji Hoon, Choo Young Woo, Ha Young, Yoon Kyung Ho, Jung Jae Kwang, Kim Eui Sung","The Trauma Code: Heroes on Call Action, Comedy, Drama, Medical Action, Comedy, Drama, Medical Surgeon Male Lead, Hospital Setting, Mentor-Mentee Relationship, Competent Male Lead, Rescue Team, Teamwork, Hardworking Male Lead, Co-workers' Relationship, Doctor Male Lead, Workplace Setting Lee Do Yoon Ju Ji Hoon, Choo Young Woo, Ha Young, Yoon Kyung Ho, Jung Jae Kwang, Kim Eui Sung Baek Gang Hyeok, a genius trauma surgeon with experience in conflict zones, joins a university hospital to lead its severe trauma team. His confident, bulldozer-like personality clashes with the hospital's financial struggles as the team saves more patients. The team includes Yang Jae Won, a former proctology surgeon who becomes Baek Gang Hyeok’s first pupil, nurse Cheon Jang Mi, and anesthesiologist resident Park Gyeong Won. Under Baek Gang Hyeok's leadership, the team transforms from a symbolic unit into one that actively saves lives.",the trauma code heroes on call action comedy drama medical action comedy drama medical surgeon male lead hospital setting mentor mentee relationship competent male lead rescue team teamwork hardworking male lead co workers relationship doctor male lead workplace setting vote tags lee do yoon ju ji hoon choo young woo ha young yoon kyung ho jung jae kwang kim eui sung,https://i.mydramalist.com/735qBe_4c.jpg?v=1
57173,Hospital Playlist Season 2,슬기로운 의사 생활 시즌2,"Romance, Life, Drama, Medical",Shin Won Ho,Standard Series,Drama,South Korea,"Jun 17, 2021",1 hr. 40 min.,12,15+ - Teens 15 or older,"Multiple Mains, Band, Music, Illness, Multiple Couples, Comedy, Bromance, Friendship, Divorced Male Lead, Smart Female Lead (Vote tags)","Everyday is extraordinary for five doctors and their patients inside a hospital, where birth, death and everything in between coexist.",100,2021,15,9.1,49312,0.91,"Jo Jung Suk, Yoo Yeon Seok, Jung Kyung Ho, Kim Dae Myung, Jeon Mi Do, Shin Hyun Been","Hospital Playlist Season 2 Romance, Life, Drama, Medical Romance, Life, Drama, Medical Multiple Mains, Band, Music, Illness, Multiple Couples, Comedy, Bromance, Friendship, Divorced Male Lead, Smart Female Lead Shin Won Ho Jo Jung Suk, Yoo Yeon Seok, Jung Kyung Ho, Kim Dae Myung, Jeon Mi Do, Shin Hyun Been Everyday is extraordinary for five doctors and their patients inside a hospital, where birth, death and everything in between coexist.",hospital playlist season 2 romance life drama medical romance life drama medical multiple mains band music illness multiple couples comedy bromance friendship divorced male lead smart female lead vote tags shin won ho jo jung suk yoo yeon seok jung kyung ho kim dae myung jeon mi do shin hyun been,https://i.mydramalist.com/dKY0d_4c.jpg?v=1
54625,Flower of Evil,악의 꽃,"Thriller, Romance, Crime, Melodrama","Kim Chul Gyu, Yoon Jong Ho",Standard Series,Drama,South Korea,"Jul 29, 2020",1 hr. 10 min.,16,15+ - Teens 15 or older,"Detective Female Lead, Psychological, Family Secret, Mystery, Suspense, Hidden Personality, Antisocial Personality Disorder, Investigation, Detective Fiction, Murder (Vote tags)","Although Baek Hui Seong is hiding a dark secret surrounding his true identity, he has established a happy family life and a successful career. He is a loving husband and a doting father to his young daughter. But his perfect façade begins to crumble when his wife, Cha Ji Won, a homicide detective, begins investigating a string of serial murders from 15 years ago. Ji Won notices changes in Hui Seong’s behavior and begins to wonder if he could possibly be hiding something from her.",70,2020,15,9.0,94312,0.9,"Lee Joon Gi, Moon Chae Won, Jang Hee Jin, Seo Hyeon Woo, Nam Gi Ae, Son Jong Hak","Flower of Evil Thriller, Romance, Crime, Melodrama Thriller, Romance, Crime, Melodrama Detective Female Lead, Psychological, Family Secret, Mystery, Suspense, Hidden Personality, Antisocial Personality Disorder, Investigation, Detective Fiction, Murder Kim Chul Gyu, Yoon Jong Ho Lee Joon Gi, Moon Chae Won, Jang Hee Jin, Seo Hyeon Woo, Nam Gi Ae, Son Jong Hak Although Baek Hui Seong is hiding a dark secret surrounding his true identity, he has established a happy family life and a successful career. He is a loving husband and a doting father to his young daughter. But his perfect façade begins to crumble when his wife, Cha Ji Won, a homicide detective, begins investigating a string of serial murders from 15 years ago. Ji Won notices changes in Hui Seong’s behavior and begins to wonder if he could possibly be hiding something from her.",flower of evil thriller romance crime melodrama thriller romance crime melodrama detective female lead psychological family secret mystery suspense hidden personality antisocial personality disorder investigation detective fiction murder vote tags kim chul gyu yoon jong ho lee joon gi moon chae won jang hee jin seo hyeon woo nam gi ae son jong hak,https://i.mydramalist.com/WAEAp_4c.jpg?v=1
13544,Reply 1988,응답하라 1988,"Comedy, Romance, Life, Youth","Shin Won Ho, Yoo Hak Chan",Standard Series,Drama,South Korea,"Nov 6, 2015",1 hr. 35 min.,20,15+ - Teens 15 or older,"Nostalgia, Multiple Couples, Poor Family, Love Triangle, Friendship, High School, Mother-Son Relationship, Coming Of Age, Bromance, Poor Female Lead (Vote tags)","Five childhood friends, who all live in the same Ssangmundong neighborhood of Seoul, lean on each other to survive their challenging teen years and set a path for their futures. Sung Deok Sun struggles for attention as the middle child in her poor family while also carrying the burden of her 999th ranking in school. Kim Jung Hwan only has a one-track mind for soccer, even after his family becomes rich overnight. Sung Sun Woo is the perfect student, student council president and a caring and dependable son in his family. Ryu Dong Ryong is a geek who knows more about girls and life than the rest of his friends, but his poor academic score prevents him from being able to go to college. Choi Taek is a genius baduk player who dropped out of school to go professional. As the group of friends gets into and out of mischief around the neighborhood, what experiences from these memorable times together will they carry with them into their future lives?",95,2015,15,9.0,69560,0.9,"Lee Hye Ri, Go Kyung Pyo, Ryu Jun Yeol, Park Bo Gum, Lee Dong Hwi, Sung Dong Il","Reply 1988 Comedy, Romance, Life, Youth Comedy, Romance, Life, Youth Nostalgia, Multiple Couples, Poor Family, Love Triangle, Friendship, High School, Mother-Son Relationship, Coming Of Age, Bromance, Poor Female Lead Shin Won Ho, Yoo Hak Chan Lee Hye Ri, Go Kyung Pyo, Ryu Jun Yeol, Park Bo Gum, Lee Dong Hwi, Sung Dong Il Five childhood friends, who all live in the same Ssangmundong neighborhood of Seoul, lean on each other to survive their challenging teen years and set a path for their futures. Sung Deok Sun struggles for attention as the middle child in her poor family while also carrying the burden of her 999th ranking in school. Kim Jung Hwan only has a one-track mind for soccer, even after his family becomes rich overnight. Sung Sun Woo is the perfect student, student council president and a caring and dependable son in his family. Ryu Dong Ryong is a geek who knows more about girls and life than the rest of his friends, but his poor academic score prevents him from being able to go to college. Choi Taek is a genius baduk player who dropped out of school to go professional. As the group of friends gets into and out of mischief around the neighborhood, what experiences from these memorable times together will they carry with them into their future lives?",reply 1988 comedy romance life youth comedy romance life youth nostalgia multiple couples poor family love triangle friendship high school mother son relationship coming of age bromance poor female lead vote tags shin won ho yoo hak chan lee hye ri go kyung pyo ryu jun yeol park bo gum lee dong hwi sung dong il,https://i.mydramalist.com/EVe0p_4c.jpg?v=1
25560,Moving,무빙,"Action, Thriller, Mystery, Supernatural",Park In Je,Standard Series,Drama,South Korea,"Aug 9, 2023",47 min.,20,18+ Restricted (violence & profanity),"Graphic Violence, Supernatural Power, Multiple Mains, Romance, Family Relationship, Past And Present, Mother-Son Relationship, Father-Daughter Relationship, Suspense, 1990s (Vote tags)","Kim Bong Seok, Jang Hui Su, and Lee Gang Hun, seemingly typical high school students, bear extraordinary inherited powers. Bong Seok can fly, Hui Su possesses exceptional athleticism and rapid injury recovery, and Gang Hun wields uncanny strength and speed. As they conceal their gifts, their parents fight to shield them from exploitation by others, navigating a delicate balance between secrecy and protection.",47,2023,18,9.0,54642,0.9,"Ryu Seung Ryong, Han Hyo Joo, Zo In Sung, Cha Tae Hyun, Ryu Seung Beom, Kim Sung Kyun","Moving Action, Thriller, Mystery, Supernatural Action, Thriller, Mystery, Supernatural Graphic Violence, Supernatural Power, Multiple Mains, Romance, Family Relationship, Past And Present, Mother-Son Relationship, Father-Daughter Relationship, Suspense, 1990s Park In Je Ryu Seung Ryong, Han Hyo Joo, Zo In Sung, Cha Tae Hyun, Ryu Seung Beom, Kim Sung Kyun Kim Bong Seok, Jang Hui Su, and Lee Gang Hun, seemingly typical high school students, bear extraordinary inherited powers. Bong Seok can fly, Hui Su possesses exceptional athleticism and rapid injury recovery, and Gang Hun wields uncanny strength and speed. As they conceal their gifts, their parents fight to shield them from exploitation by others, navigating a delicate balance between secrecy and protection.",moving action thriller mystery supernatural action thriller mystery supernatural graphic violence supernatural power multiple mains romance family relationship past and present mother son relationship father daughter relationship suspense 1990s vote tags park in je ryu seung ryong han hyo joo zo in sung cha tae hyun ryu seung beom kim sung kyun,https://i.mydramalist.com/l0YBOx_4c.jpg?v=1
